Nivel,Código EDT,Nombre de Elemento,Definición,Organización Responsable,Supuestos,Restricciones,Riesgos,Consideraciones
3,1.4.3,Reporte de Ejecución de Pruebas,Análisis y reporte de los resultados de la ejecución de pruebas en cada sprint.,Equipo de Testing,Integración con herramientas de gestión de defectos.,Disponibilidad de informes y métricas de pruebas.,Problemas de comunicación sobre el estado de las pruebas.,Retroalimentación oportuna al equipo de desarrollo.
3,1.4.4,Reporte de Defectos,Documentación y seguimiento de los defectos encontrados durante las pruebas.,Equipo de Testing y Desarrollo,Severidad y prioridad de los defectos claramente definidos.,Proceso de resolución de defectos establecido.,Dificultad en la reproducción y aislamiento de defectos.,Retroalimentación frecuente al equipo de desarrollo.
3,1.4.5,Resumen de Pruebas,"Informe final que resume los resultados, métricas y conclusiones de las pruebas realizadas.",Equipo de Testing,Datos e información de pruebas debidamente registrados.,Disponibilidad de tiempo para la elaboración del informe.,Falta de claridad en los hallazgos o recomendaciones.,Revisión y validación del informe por el equipo.
1,2,Sistema de Autoayuda,Implementación de un portal de autoayuda con asistente virtual para consultas de los clientes.,Equipo de desarrollo,Requisitos de los usuarios definidos.,Presupuesto y cronograma definidos.,Complejidad en la integración del chatbot.,Enfocarse en las consultas más frecuentes.
2,2.1,Gestión de Requisitos,Levantamiento y definición de los requisitos del portal de autoayuda.,Equipo de Análisis,Involucramiento de los usuarios clave.,Requisitos estables.,Cambios en los requisitos.,Realizar workshops de levantamiento de requisitos.
3,2.1.1,Listado de Épicas,Definición y especificación de las épicas principales de la aplicación móvil.,Equipo de Análisis de Requisitos,Se cuenta con la participación activa de los usuarios clave.,Presupuesto y cronograma definidos.,Cambios de alcance durante la definición de épicas.,Enfoque iterativo para refinar las épicas.
3,2.1.2,Especificación de Historias de Usuario,Definición detallada de las historias de usuario que conforman cada épica.,Equipo de Análisis de Requisitos,Disponibilidad de los usuarios clave para validar las historias.,Alcance y prioridad de las historias definidas.,Conflictos entre necesidades de los usuarios.,Realizar sesiones de refinamiento con el equipo.
3,2.1.3,Product Backlog,Mantenimiento y priorización del backlog de la aplicación móvil.,Equipo de Gestión de Producto,Producto mínimo viable (MVP) definido.,Recursos y capacidad del equipo de desarrollo.,Cambios constantes de prioridades.,Revisiones periódicas del backlog con el equipo.
3,2.1.4,Planificación de Sprints,Definición y planificación de los sprints de desarrollo de la aplicación móvil.,Equipo de Desarrollo,Capacidad del equipo y disponibilidad de recursos.,Duración y objetivos de cada sprint.,Impedimentos que puedan afectar la planificación.,Revisión y ajuste de la planificación en cada sprint.
3,2.1.5,Scrum Board,Gestión y seguimiento del trabajo en el tablero Scrum de la aplicación móvil.,Equipo de Desarrollo,Integración del equipo y compromiso con el proceso Scrum.,Responsabilidades y roles definidos.,Desviaciones en la ejecución de las tareas.,Retrospectivas para mejorar el proceso.
3,2.1.6,Revisión de Sprint,Evaluación y validación de los incrementos entregados en cada sprint.,Equipo de Desarrollo y Stakeholders,Criterios de aceptación claros para cada historia de usuario.,Disponibilidad de los stakeholders para la revisión.,Problemas de calidad o funcionalidad en los incrementos.,Retroalimentación de los stakeholders para mejoras.
3,2.1.7,Retrospectiva de Sprint,Análisis y mejora continua del proceso de desarrollo de la aplicación móvil.,Equipo de Desarrollo,Compromiso del equipo con la mejora continua.,Disponibilidad de tiempo para realizar la retrospectiva.,Resistencia al cambio o mejoras propuestas.,Implementar acciones concretas y darles seguimiento.
3,2.1.8,Compilación de Reunión,Registro y documentación de las reuniones y decisiones clave del proyecto.,Equipo de Gestión de Proyecto,Participación y compromiso de los asistentes.,Disponibilidad de tiempo para realizar la compilación.,Inasistencia o falta de aportes relevantes.,Distribuir los registros de manera oportuna.
2,2.2,Diseño,Diseño de la arquitectura y funcionalidades del portal de autoayuda.,Equipo de Diseño,Disponibilidad de recursos técnicos.,Definición clara de los requerimientos.,Complejidad en el diseño de la interfaz.,Involucrar a los usuarios durante el diseño.
3,2.2.1,Resumen de Investigación de Usuario,Recopilación y análisis de información sobre los usuarios y sus necesidades,Equipo de Análisis de Requisitos,Disponibilidad de usuarios clave para entrevistas y validación,Plazo definido para la investigación,Dificultad en obtener información relevante de usuarios,Enfoque iterativo para afinar la investigación
3,2.2.2,Documento Resumen de Definición,Documento que detalla las definiciones y especificaciones de las historias de usuario,Equipo de Análisis de Requisitos,Participación y validación de usuarios clave,Alcance de las historias de usuario acordado,Dificultad en obtener consenso sobre las definiciones,Revisiones frecuentes con el equipo y usuarios
3,2.2.3,Compilación de Ideación,Registro y documentación de los procesos de ideación y diseño de las historias de usuario,Equipo de Análisis de Requisitos y Diseño,Técnicas de ideación y diseño aplicadas efectivamente,Tiempo destinado a la compilación de ideas,Dificultad en priorizar y seleccionar las mejores ideas,Retroalimentación continua del equipo
3,2.2.4,Revisión General de Prototipado,Análisis y validación de los prototipos de las historias de usuario,Equipo de Análisis de Requisitos y Diseño,Prototipos suficientemente detallados y representativos,Disponibilidad de usuarios clave para la revisión,Problemas de usabilidad o funcionalidad en los prototipos,Iterar sobre los prototipos con base en la retroalimentación
3,2.2.5,Resumen de Pruebas,Registro y análisis de las pruebas realizadas a las historias de usuario,Equipo de Análisis de Requisitos y Testing,Casos de prueba definidos y ejecutados adecuadamente,Disponibilidad de recursos y entornos de prueba,Problemas de funcionalidad o usabilidad identificados en las pruebas,Implementar mejoras iterativas con base en los resultados de las pruebas
2,2.3,Implementación,Desarrollo e implementación del portal de autoayuda.,Equipo de Desarrollo,Disponibilidad de recursos técnicos.,Cronograma de implementación.,Problemas técnicos durante el desarrollo.,Aplicar buenas prácticas de desarrollo de software.
3,1.3.1,Interfaz Base,Diseño y desarrollo de la interfaz de usuario base para la navegación y funcionalidad común de la aplicación móvil.,Equipo de Diseño y Desarrollo,Estándares de diseño de UX/UI definidos.,Compatibilidad con plataformas móviles clave.,Complejidad en alinearse a las pautas de diseño nativo.,Pruebas exhaustivas de usabilidad.
3,1.3.2,FARMACON,Desarrollo e implementación del asistente virtual chatbot FARMACON que brindará asesoría a clientes y prospectos sobre fármacos y enfermedades.,Equipo de Desarrollo,Información de consultas clave de clientes recopilada adecuadamente.,Integración eficaz con el portal de autoayuda.,Dificultades en el entrenamiento del chatbot.,Pruebas exhaustivas de usabilidad y precisión de respuestas.
2,2.4,Testing,Planificar y ejecutar pruebas del portal de autoayuda.,Equipo de Pruebas,Entorno de pruebas adecuado.,Plan de pruebas definido.,Defectos no identificados a tiempo.,Automatizar pruebas cuando sea posible.
3,2.4.1,Plan de Pruebas,Definición de los casos de prueba y el plan de ejecución para validar los incrementos de cada sprint.,Equipo de Testing,Criterios de aceptación claros para cada historia de usuario.,Disponibilidad de entornos y datos de prueba.,Problemas de calidad o funcionalidad detectados tarde.,Pruebas automatizadas para aumentar cobertura.
3,2.4.2,Compilación de casos Pruebas,Registro y documentación de los casos de prueba diseñados y ejecutados.,Equipo de Testing,Trazabilidad entre historias de usuario y casos de prueba.,Mantenimiento adecuado de la suite de pruebas.,Dificultad para replicar problemas reportados.,Revisión constante de los casos de prueba.
3,2.4.3,Reporte de Ejecución de Pruebas,Análisis y reporte de los resultados de la ejecución de pruebas en cada sprint.,Equipo de Testing,Integración con herramientas de gestión de defectos.,Disponibilidad de informes y métricas de pruebas.,Problemas de comunicación sobre el estado de las pruebas.,Retroalimentación oportuna al equipo de desarrollo.
3,2.4.4,Reporte de Defectos,Documentación y seguimiento de los defectos encontrados durante las pruebas.,Equipo de Testing y Desarrollo,Severidad y prioridad de los defectos claramente definidos.,Proceso de resolución de defectos establecido.,Dificultad en la reproducción y aislamiento de defectos.,Retroalimentación frecuente al equipo de desarrollo.
3,2.4.5,Resumen de Pruebas,"Informe final que resume los resultados, métricas y conclusiones de las pruebas realizadas.",Equipo de Testing,Datos e información de pruebas debidamente registrados.,Disponibilidad de tiempo para la elaboración del informe.,Falta de claridad en los hallazgos o recomendaciones.,Revisión y validación del informe por el equipo.
1,3,Plataforma E-Commerce Web,Implementación de un portal web para compras online y seguimiento de pedidos.,Equipo de desarrollo,Requisitos de los usuarios definidos.,Presupuesto y cronograma definidos.,Integración con pasarela de pagos.,Enfocarse en la experiencia del usuario.
2,3.1,Gestión y Planificación,Planificar y gestionar el proyecto del portal web.,Gerente de Proyecto,Apoyo de la alta dirección.,Cronograma ajustado.,Retrasos en la planificación.,Involucrar a las partes interesadas durante la planificación.
3,3.1.1,Listado de Épicas,Definición y especificación de las épicas principales de la aplicación móvil.,Equipo de Análisis de Requisitos,Se cuenta con la participación activa de los usuarios clave.,Presupuesto y cronograma definidos.,Cambios de alcance durante la definición de épicas.,Enfoque iterativo para refinar las épicas.
3,3.1.2,Especificación de Historias de Usuario,Definición detallada de las historias de usuario que conforman cada épica.,Equipo de Análisis de Requisitos,Disponibilidad de los usuarios clave para validar las historias.,Alcance y prioridad de las historias definidas.,Conflictos entre necesidades de los usuarios.,Realizar sesiones de refinamiento con el equipo.
3,3.1.3,Product Backlog,Mantenimiento y priorización del backlog de la aplicación móvil.,Equipo de Gestión de Producto,Producto mínimo viable (MVP) definido.,Recursos y capacidad del equipo de desarrollo.,Cambios constantes de prioridades.,Revisiones periódicas del backlog con el equipo.
3,3.1.4,Planificación de Sprints,Definición y planificación de los sprints de desarrollo de la aplicación móvil.,Equipo de Desarrollo,Capacidad del equipo y disponibilidad de recursos.,Duración y objetivos de cada sprint.,Impedimentos que puedan afectar la planificación.,Revisión y ajuste de la planificación en cada sprint.
3,3.1.5,Scrum Board,Gestión y seguimiento del trabajo en el tablero Scrum de la aplicación móvil.,Equipo de Desarrollo,Integración del equipo y compromiso con el proceso Scrum.,Responsabilidades y roles definidos.,Desviaciones en la ejecución de las tareas.,Retrospectivas para mejorar el proceso.
3,3.1.6,Revisión de Sprint,Evaluación y validación de los incrementos entregados en cada sprint.,Equipo de Desarrollo y Stakeholders,Criterios de aceptación claros para cada historia de usuario.,Disponibilidad de los stakeholders para la revisión.,Problemas de calidad o funcionalidad en los incrementos.,Retroalimentación de los stakeholders para mejoras.
3,3.1.7,Retrospectiva de Sprint,Análisis y mejora continua del proceso de desarrollo de la aplicación móvil.,Equipo de Desarrollo,Compromiso del equipo con la mejora continua.,Disponibilidad de tiempo para realizar la retrospectiva.,Resistencia al cambio o mejoras propuestas.,Implementar acciones concretas y darles seguimiento.
3,3.1.8,Compilación de Reunión,Registro y documentación de las reuniones y decisiones clave del proyecto.,Equipo de Gestión de Proyecto,Participación y compromiso de los asistentes.,Disponibilidad de tiempo para realizar la compilación.,Inasistencia o falta de aportes relevantes.,Distribuir los registros de manera oportuna.
2,3.2,Diseño,Diseño de la arquitectura y funcionalidades del portal web.,Equipo de Diseño,Disponibilidad de recursos técnicos.,Definición clara de los requerimientos.,Complejidad en el diseño de la interfaz.,Involucrar a los usuarios durante el diseño.
3,3.2.1,Resumen de Investigación de Usuario,Recopilación y análisis de información sobre los usuarios y sus necesidades,Equipo de Análisis de Requisitos,Disponibilidad de usuarios clave para entrevistas y validación,Plazo definido para la investigación,Dificultad en obtener información relevante de usuarios,Enfoque iterativo para afinar la investigación
3,3.2.2,Documento Resumen de Definición,Documento que detalla las definiciones y especificaciones de las historias de usuario,Equipo de Análisis de Requisitos,Participación y validación de usuarios clave,Alcance de las historias de usuario acordado,Dificultad en obtener consenso sobre las definiciones,Revisiones frecuentes con el equipo y usuarios
3,3.2.3,Compilación de Ideación,Registro y documentación de los procesos de ideación y diseño de las historias de usuario,Equipo de Análisis de Requisitos y Diseño,Técnicas de ideación y diseño aplicadas efectivamente,Tiempo destinado a la compilación de ideas,Dificultad en priorizar y seleccionar las mejores ideas,Retroalimentación continua del equipo
3,3.2.4,Revisión General de Prototipado,Análisis y validación de los prototipos de las historias de usuario,Equipo de Análisis de Requisitos y Diseño,Prototipos suficientemente detallados y representativos,Disponibilidad de usuarios clave para la revisión,Problemas de usabilidad o funcionalidad en los prototipos,Iterar sobre los prototipos con base en la retroalimentación
3,3.2.5,Resumen de Pruebas,Registro y análisis de las pruebas realizadas a las historias de usuario,Equipo de Análisis de Requisitos y Testing,Casos de prueba definidos y ejecutados adecuadamente,Disponibilidad de recursos y entornos de prueba,Problemas de funcionalidad o usabilidad identificados en las pruebas,Implementar mejoras iterativas con base en los resultados de las pruebas
2,3.3,Implementación,Desarrollo e implementación del portal web.,Equipo de Desarrollo,Disponibilidad de recursos técnicos.,Cronograma de implementación.,Problemas técnicos durante el desarrollo.,Aplicar buenas prácticas de desarrollo de software.
3,3.3.1,Interfaz Base,Desarrollo de la interfaz de usuario base que brinde una navegación y funcionalidad común en todo el sitio e-commerce.,Equipo de Diseño y Desarrollo,Alineación a estándares y pautas de diseño web.,Compatibilidad con principales navegadores y dispositivos.,Complejidad en lograr consistencia en la experiencia de usuario.,Pruebas de usabilidad con usuarios reales.
3,3.3.3,Módulo Administrador,Desarrollo del panel de administración para la gestión del sitio e-commerce y sus contenidos.,Equipo de Desarrollo,Definición clara de perfiles y permisos de usuario.,Integración con servicios de autenticación.,Complejidad en la implementación de controles de seguridad.,Pruebas exhaustivas de acceso y funcionalidad.
3,3.3.4,Módulo de Compras,"Implementación del flujo de compra, incluyendo carrito, pasarela de pago, etc.",Equipo de Desarrollo,Integración exitosa con proveedores de pasarela de pago.,Cumplimiento de normativas y regulaciones.,Problemas de seguridad y fraude en transacciones.,Pruebas de rendimiento y estrés.
3,3.3.5,Módulo de Pedidos,Desarrollo del módulo que permite a los usuarios rastrear el estado de sus pedidos.,Equipo de Desarrollo,Integración con sistemas de logística y distribución.,Manejo adecuado de notificaciones a clientes.,Problemas de sincronización de datos de pedidos.,Pruebas de notificaciones y alertas.
3,3.3.6,Despliegue,Preparación y despliegue del sitio e-commerce en los servidores de producción.,Equipo de DevOps,Cumplimiento de los requisitos de la plataforma de hosting.,Disponibilidad de recursos de infraestructura.,Problemas en el proceso de publicación.,Revisiones y pruebas previas al despliegue final.
2,3.4,Testing,Planificar y ejecutar pruebas del portal web.,Equipo de Pruebas,Entorno de pruebas adecuado.,Plan de pruebas definido.,Defectos no identificados a tiempo.,Automatizar pruebas cuando sea posible.
3,3.4.1,Plan de Pruebas,Definición de los casos de prueba y el plan de ejecución para validar los incrementos de cada sprint.,Equipo de Testing,Criterios de aceptación claros para cada historia de usuario.,Disponibilidad de entornos y datos de prueba.,Problemas de calidad o funcionalidad detectados tarde.,Pruebas automatizadas para aumentar cobertura.
3,3.4.2,Compilación de casos Pruebas,Registro y documentación de los casos de prueba diseñados y ejecutados.,Equipo de Testing,Trazabilidad entre historias de usuario y casos de prueba.,Mantenimiento adecuado de la suite de pruebas.,Dificultad para replicar problemas reportados.,Revisión constante de los casos de prueba.
3,3.4.3,Reporte de Ejecución de Pruebas,Análisis y reporte de los resultados de la ejecución de pruebas en cada sprint.,Equipo de Testing,Integración con herramientas de gestión de defectos.,Disponibilidad de informes y métricas de pruebas.,Problemas de comunicación sobre el estado de las pruebas.,Retroalimentación oportuna al equipo de desarrollo.
3,3.4.4,Reporte de Defectos,Documentación y seguimiento de los defectos encontrados durante las pruebas.,Equipo de Testing y Desarrollo,Severidad y prioridad de los defectos claramente definidos.,Proceso de resolución de defectos establecido.,Dificultad en la reproducción y aislamiento de defectos.,Retroalimentación frecuente al equipo de desarrollo.
3,3.4.5,Resumen de Pruebas,"Informe final que resume los resultados, métricas y conclusiones de las pruebas realizadas.",Equipo de Testing,Datos e información de pruebas debidamente registrados.,Disponibilidad de tiempo para la elaboración del informe.,Falta de claridad en los hallazgos o recomendaciones.,Revisión y validación del informe por el equipo.
1,4,Infraestructura Cloud Back-End,Implementación de la infraestructura Cloud para soportar la nueva arquitectura.,Equipo de Infraestructura,Requisitos técnicos definidos.,Presupuesto y cronograma definidos.,Escalabilidad y disponibilidad de la infraestructura.,Asegurar redundancia y seguridad de la infraestructura.
2,4.1,Gestión de Requisitos,Levantamiento y definición de los requisitos técnicos de la infraestructura.,Equipo de Análisis,Involucramiento de los equipos técnicos.,Requisitos estables.,Cambios en los requisitos.,Realizar workshops de levantamiento de requisitos.
3,4.1.1,Listado de Épicas,Definición y especificación de las épicas principales de la aplicación móvil.,Equipo de Análisis de Requisitos,Se cuenta con la participación activa de los usuarios clave.,Presupuesto y cronograma definidos.,Cambios de alcance durante la definición de épicas.,Enfoque iterativo para refinar las épicas.
3,4.1.2,Especificación de Historias de Usuario,Definición detallada de las historias de usuario que conforman cada épica.,Equipo de Análisis de Requisitos,Disponibilidad de los usuarios clave para validar las historias.,Alcance y prioridad de las historias definidas.,Conflictos entre necesidades de los usuarios.,Realizar sesiones de refinamiento con el equipo.
3,4.1.3,Product Backlog,Mantenimiento y priorización del backlog de la aplicación móvil.,Equipo de Gestión de Producto,Producto mínimo viable (MVP) definido.,Recursos y capacidad del equipo de desarrollo.,Cambios constantes de prioridades.,Revisiones periódicas del backlog con el equipo.
3,4.1.4,Planificación de Sprints,Definición y planificación de los sprints de desarrollo de la aplicación móvil.,Equipo de Desarrollo,Capacidad del equipo y disponibilidad de recursos.,Duración y objetivos de cada sprint.,Impedimentos que puedan afectar la planificación.,Revisión y ajuste de la planificación en cada sprint.
3,4.1.5,Scrum Board,Gestión y seguimiento del trabajo en el tablero Scrum de la aplicación móvil.,Equipo de Desarrollo,Integración del equipo y compromiso con el proceso Scrum.,Responsabilidades y roles definidos.,Desviaciones en la ejecución de las tareas.,Retrospectivas para mejorar el proceso.
3,4.1.6,Revisión de Sprint,Evaluación y validación de los incrementos entregados en cada sprint.,Equipo de Desarrollo y Stakeholders,Criterios de aceptación claros para cada historia de usuario.,Disponibilidad de los stakeholders para la revisión.,Problemas de calidad o funcionalidad en los incrementos.,Retroalimentación de los stakeholders para mejoras.
3,4.1.7,Retrospectiva de Sprint,Análisis y mejora continua del proceso de desarrollo de la aplicación móvil.,Equipo de Desarrollo,Compromiso del equipo con la mejora continua.,Disponibilidad de tiempo para realizar la retrospectiva.,Resistencia al cambio o mejoras propuestas.,Implementar acciones concretas y darles seguimiento.
3,4.1.8,Compilación de Reunión,Registro y documentación de las reuniones y decisiones clave del proyecto.,Equipo de Gestión de Proyecto,Participación y compromiso de los asistentes.,Disponibilidad de tiempo para realizar la compilación.,Inasistencia o falta de aportes relevantes.,Distribuir los registros de manera oportuna.
2,4.2,Diseño,Diseño de la arquitectura de la infraestructura Cloud.,Equipo de Diseño,Disponibilidad de recursos técnicos.,Definición clara de los requerimientos.,Complejidad en el diseño de la infraestructura.,Involucrar a los equipos técnicos durante el diseño.
3,4.2.1,Documentos de Atributos de Calidad,Recopilación y documentación de los atributos de calidad requeridos para el diseño.,Equipo de Aseguramiento de Calidad,Alineación con los requisitos funcionales y no funcionales.,Participación de stakeholders clave en la definición.,Dificultad en establecer métricas de calidad cuantificables.,Revisiones periódicas de los atributos de calidad.
3,4.2.2,Diagramas de Arquitectura,Diseño y modelado de los diagramas arquitectónicos de alto nivel.,Equipo de Arquitectura,Comprensión clara de los requisitos del sistema.,Utilización de notaciones y herramientas estándar.,Complejidad en reflejar la arquitectura completa.,Validación de los diagramas con el equipo técnico.
3,4.2.3,Documentos de Solución Técnica,Especificación detallada de la solución técnica que satisface los requisitos.,Equipo de Arquitectura y Desarrollo,Alineación con los atributos de calidad definidos.,Suficiente información para guiar la implementación.,Dificultad en plasmar toda la complejidad técnica.,Revisión y aprobación por el equipo de desarrollo.
2,4.3,Implementación,Implementación de la infraestructura Cloud.,Equipo de Infraestructura,Disponibilidad de recursos técnicos.,Cronograma de implementación.,Problemas técnicos durante la implementación.,Aplicar buenas prácticas de gestión de infraestructura.
3,4.3.1,API de Autenticación,Desarrollo de la API que permitirá la autenticación de usuarios en los sistemas.,Equipo de desarrollo,Acceso a los sistemas de identidad existentes.,Cumplimiento de políticas de seguridad.,Problemas de integración con sistemas legados.,Implementar mecanismos robustos de autenticación.
3,4.3.2,API de Productos,Desarrollo de la API que expondrá la información de los productos y catálogos del negocio.,Equipo de desarrollo,Integración con sistemas de gestión de inventario.,Estructura de datos estandarizada.,Complejidad de sincronización de datos.,Asegurar desempeño y escalabilidad.
3,4.3.3,API de Ventas,Desarrollo de la API que manejará las transacciones de venta y pedidos de los clientes.,Equipo de desarrollo,Integración con sistema de facturación.,Cumplimiento de regulaciones fiscales.,Problemas de concurrencia en transacciones.,Optimizar flujos de pago y procesamiento.
3,4.3.4,API de Pedidos,Desarrollo de la API que permitirá la gestión de pedidos y el flujo de aprobación.,Equipo de desarrollo,Definición clara de estados y flujos de aprobación.,Tiempos de respuesta acordados.,Complejidad en la gestión de excepciones.,Integración con sistemas de gestión de inventario y despacho.
3,4.3.5,Despliegue,Actividades relacionadas con el despliegue de las APIs y servicios en los ambientes de producción; incluyendo configuración de infraestructura; automatización de procesos y pruebas de integración.,Equipo de DevOps,Definición de ambientes y procesos de CI/CD.,Disponibilidad de recursos de infraestructura.,"Problemas de compatibilidad y estabilidad.,Asegurar la escalabilidad y alta disponibilidad.",
2,4.4,Testing,Planificar y ejecutar pruebas de la infraestructura Cloud.,Equipo de Pruebas,Entorno de pruebas adecuado.,Plan de pruebas definido.,Defectos no identificados a tiempo.,Automatizar pruebas cuando sea posible.
